split,setting,seed,task_id,success,failure_type,eval_error,patch_chars,localize_chars,review_chars,run_name,summary_path
shifted_test,free,712,apps_shifted_test_test_0000,False,empty_or_missing_patch,Case 1 produced different output.,0,0,22,apps_protocol_20260716_021947_s712_shifted_test_free,trajectories\apps_protocol_20260716_021947_s712_shifted_test_free\summary.json
shifted_test,manual,712,apps_shifted_test_test_0000,True,passed,,1295,444,0,apps_protocol_20260716_021947_s712_shifted_test_manual,trajectories\apps_protocol_20260716_021947_s712_shifted_test_manual\summary.json
shifted_test,random,712,apps_shifted_test_test_0000,False,empty_or_missing_patch,Case 1 produced different output.,0,0,21,apps_protocol_20260716_021947_s712_shifted_test_random,trajectories\apps_protocol_20260716_021947_s712_shifted_test_random\summary.json
shifted_test,reuse_full,712,apps_shifted_test_test_0000,True,passed,,980,0,0,apps_protocol_20260716_021947_s712_shifted_test_reuse_full,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_full\summary.json
shifted_test,reuse_prompt,712,apps_shifted_test_test_0000,True,passed,,763,707,0,apps_protocol_20260716_021947_s712_shifted_test_reuse_prompt,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_prompt\summary.json
shifted_test,reuse_routing,712,apps_shifted_test_test_0000,True,passed,,427,638,0,apps_protocol_20260716_021947_s712_shifted_test_reuse_routing,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_routing\summary.json
shifted_test,free,712,apps_shifted_test_test_0001,True,passed,,617,876,4,apps_protocol_20260716_021947_s712_shifted_test_free,trajectories\apps_protocol_20260716_021947_s712_shifted_test_free\summary.json
shifted_test,manual,712,apps_shifted_test_test_0001,True,passed,,716,604,4,apps_protocol_20260716_021947_s712_shifted_test_manual,trajectories\apps_protocol_20260716_021947_s712_shifted_test_manual\summary.json
shifted_test,random,712,apps_shifted_test_test_0001,True,passed,,741,576,4,apps_protocol_20260716_021947_s712_shifted_test_random,trajectories\apps_protocol_20260716_021947_s712_shifted_test_random\summary.json
shifted_test,reuse_full,712,apps_shifted_test_test_0001,True,passed,,569,0,4,apps_protocol_20260716_021947_s712_shifted_test_reuse_full,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_full\summary.json
shifted_test,reuse_prompt,712,apps_shifted_test_test_0001,False,wrong_output,Case 54 produced different output.,643,730,0,apps_protocol_20260716_021947_s712_shifted_test_reuse_prompt,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_prompt\summary.json
shifted_test,reuse_routing,712,apps_shifted_test_test_0001,True,passed,,494,826,0,apps_protocol_20260716_021947_s712_shifted_test_reuse_routing,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_routing\summary.json
shifted_test,free,712,apps_shifted_test_test_0002,True,passed,,168,643,4,apps_protocol_20260716_021947_s712_shifted_test_free,trajectories\apps_protocol_20260716_021947_s712_shifted_test_free\summary.json
shifted_test,manual,712,apps_shifted_test_test_0002,True,passed,,324,472,4,apps_protocol_20260716_021947_s712_shifted_test_manual,trajectories\apps_protocol_20260716_021947_s712_shifted_test_manual\summary.json
shifted_test,random,712,apps_shifted_test_test_0002,True,passed,,218,783,4,apps_protocol_20260716_021947_s712_shifted_test_random,trajectories\apps_protocol_20260716_021947_s712_shifted_test_random\summary.json
shifted_test,reuse_full,712,apps_shifted_test_test_0002,True,passed,,203,610,4,apps_protocol_20260716_021947_s712_shifted_test_reuse_full,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_full\summary.json
shifted_test,reuse_prompt,712,apps_shifted_test_test_0002,True,passed,,240,567,4,apps_protocol_20260716_021947_s712_shifted_test_reuse_prompt,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_prompt\summary.json
shifted_test,reuse_routing,712,apps_shifted_test_test_0002,True,passed,,227,492,4,apps_protocol_20260716_021947_s712_shifted_test_reuse_routing,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_routing\summary.json
shifted_test,free,712,apps_shifted_test_test_0003,False,empty_or_missing_patch,Case 1 produced different output.,0,0,21,apps_protocol_20260716_021947_s712_shifted_test_free,trajectories\apps_protocol_20260716_021947_s712_shifted_test_free\summary.json
shifted_test,manual,712,apps_shifted_test_test_0003,False,syntax_error,"File ""<string>"", line 28
    one_prefix[i] = one_prefix[i - 1] + (1 if cover[i] ==
                                        ^
SyntaxError: '(' was never closed",757,54,79,apps_protocol_20260716_021947_s712_shifted_test_manual,trajectories\apps_protocol_20260716_021947_s712_shifted_test_manual\summary.json
shifted_test,random,712,apps_shifted_test_test_0003,False,empty_or_missing_patch,Case 1 produced different output.,0,0,22,apps_protocol_20260716_021947_s712_shifted_test_random,trajectories\apps_protocol_20260716_021947_s712_shifted_test_random\summary.json
shifted_test,reuse_full,712,apps_shifted_test_test_0003,False,empty_or_missing_patch,Case 1 produced different output.,0,984,22,apps_protocol_20260716_021947_s712_shifted_test_reuse_full,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_full\summary.json
shifted_test,reuse_prompt,712,apps_shifted_test_test_0003,True,passed,,1627,1292,0,apps_protocol_20260716_021947_s712_shifted_test_reuse_prompt,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_prompt\summary.json
shifted_test,reuse_routing,712,apps_shifted_test_test_0003,True,passed,,1748,620,4,apps_protocol_20260716_021947_s712_shifted_test_reuse_routing,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_routing\summary.json
shifted_test,free,712,apps_shifted_test_test_0004,True,passed,,387,795,0,apps_protocol_20260716_021947_s712_shifted_test_free,trajectories\apps_protocol_20260716_021947_s712_shifted_test_free\summary.json
shifted_test,manual,712,apps_shifted_test_test_0004,True,passed,,413,577,0,apps_protocol_20260716_021947_s712_shifted_test_manual,trajectories\apps_protocol_20260716_021947_s712_shifted_test_manual\summary.json
shifted_test,random,712,apps_shifted_test_test_0004,True,passed,,418,560,4,apps_protocol_20260716_021947_s712_shifted_test_random,trajectories\apps_protocol_20260716_021947_s712_shifted_test_random\summary.json
shifted_test,reuse_full,712,apps_shifted_test_test_0004,True,passed,,457,1107,0,apps_protocol_20260716_021947_s712_shifted_test_reuse_full,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_full\summary.json
shifted_test,reuse_prompt,712,apps_shifted_test_test_0004,True,passed,,356,723,0,apps_protocol_20260716_021947_s712_shifted_test_reuse_prompt,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_prompt\summary.json
shifted_test,reuse_routing,712,apps_shifted_test_test_0004,True,passed,,361,595,0,apps_protocol_20260716_021947_s712_shifted_test_reuse_routing,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_routing\summary.json
shifted_test,free,712,apps_shifted_test_test_0005,True,passed,,333,758,0,apps_protocol_20260716_021947_s712_shifted_test_free,trajectories\apps_protocol_20260716_021947_s712_shifted_test_free\summary.json
shifted_test,manual,712,apps_shifted_test_test_0005,True,passed,,292,772,0,apps_protocol_20260716_021947_s712_shifted_test_manual,trajectories\apps_protocol_20260716_021947_s712_shifted_test_manual\summary.json
shifted_test,random,712,apps_shifted_test_test_0005,True,passed,,457,599,0,apps_protocol_20260716_021947_s712_shifted_test_random,trajectories\apps_protocol_20260716_021947_s712_shifted_test_random\summary.json
shifted_test,reuse_full,712,apps_shifted_test_test_0005,True,passed,,262,530,0,apps_protocol_20260716_021947_s712_shifted_test_reuse_full,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_full\summary.json
shifted_test,reuse_prompt,712,apps_shifted_test_test_0005,True,passed,,563,1118,0,apps_protocol_20260716_021947_s712_shifted_test_reuse_prompt,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_prompt\summary.json
shifted_test,reuse_routing,712,apps_shifted_test_test_0005,True,passed,,372,732,0,apps_protocol_20260716_021947_s712_shifted_test_reuse_routing,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_routing\summary.json
shifted_test,free,712,apps_shifted_test_test_0006,True,passed,,436,530,129,apps_protocol_20260716_021947_s712_shifted_test_free,trajectories\apps_protocol_20260716_021947_s712_shifted_test_free\summary.json
shifted_test,manual,712,apps_shifted_test_test_0006,True,passed,,464,638,0,apps_protocol_20260716_021947_s712_shifted_test_manual,trajectories\apps_protocol_20260716_021947_s712_shifted_test_manual\summary.json
shifted_test,random,712,apps_shifted_test_test_0006,True,passed,,436,839,0,apps_protocol_20260716_021947_s712_shifted_test_random,trajectories\apps_protocol_20260716_021947_s712_shifted_test_random\summary.json
shifted_test,reuse_full,712,apps_shifted_test_test_0006,True,passed,,819,891,0,apps_protocol_20260716_021947_s712_shifted_test_reuse_full,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_full\summary.json
shifted_test,reuse_prompt,712,apps_shifted_test_test_0006,True,passed,,575,684,4,apps_protocol_20260716_021947_s712_shifted_test_reuse_prompt,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_prompt\summary.json
shifted_test,reuse_routing,712,apps_shifted_test_test_0006,True,passed,,429,911,0,apps_protocol_20260716_021947_s712_shifted_test_reuse_routing,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_routing\summary.json
shifted_test,free,712,apps_shifted_test_test_0007,False,empty_or_missing_patch,Case 1 produced different output.,0,409,29,apps_protocol_20260716_021947_s712_shifted_test_free,trajectories\apps_protocol_20260716_021947_s712_shifted_test_free\summary.json
shifted_test,manual,712,apps_shifted_test_test_0007,False,empty_or_missing_patch,Case 1 produced different output.,0,0,25,apps_protocol_20260716_021947_s712_shifted_test_manual,trajectories\apps_protocol_20260716_021947_s712_shifted_test_manual\summary.json
shifted_test,random,712,apps_shifted_test_test_0007,True,passed,,254,818,0,apps_protocol_20260716_021947_s712_shifted_test_random,trajectories\apps_protocol_20260716_021947_s712_shifted_test_random\summary.json
shifted_test,reuse_full,712,apps_shifted_test_test_0007,False,empty_or_missing_patch,Case 1 produced different output.,0,1000,21,apps_protocol_20260716_021947_s712_shifted_test_reuse_full,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_full\summary.json
shifted_test,reuse_prompt,712,apps_shifted_test_test_0007,True,passed,,254,522,0,apps_protocol_20260716_021947_s712_shifted_test_reuse_prompt,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_prompt\summary.json
shifted_test,reuse_routing,712,apps_shifted_test_test_0007,False,empty_or_missing_patch,Case 1 produced different output.,0,0,48,apps_protocol_20260716_021947_s712_shifted_test_reuse_routing,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_routing\summary.json
shifted_test,free,712,apps_shifted_test_test_0008,False,empty_or_missing_patch,Case 1 produced different output.,0,0,22,apps_protocol_20260716_021947_s712_shifted_test_free,trajectories\apps_protocol_20260716_021947_s712_shifted_test_free\summary.json
shifted_test,manual,712,apps_shifted_test_test_0008,False,empty_or_missing_patch,Case 1 produced different output.,0,1254,22,apps_protocol_20260716_021947_s712_shifted_test_manual,trajectories\apps_protocol_20260716_021947_s712_shifted_test_manual\summary.json
shifted_test,random,712,apps_shifted_test_test_0008,True,passed,,903,517,0,apps_protocol_20260716_021947_s712_shifted_test_random,trajectories\apps_protocol_20260716_021947_s712_shifted_test_random\summary.json
shifted_test,reuse_full,712,apps_shifted_test_test_0008,True,passed,,687,1134,0,apps_protocol_20260716_021947_s712_shifted_test_reuse_full,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_full\summary.json
shifted_test,reuse_prompt,712,apps_shifted_test_test_0008,True,passed,,772,913,0,apps_protocol_20260716_021947_s712_shifted_test_reuse_prompt,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_prompt\summary.json
shifted_test,reuse_routing,712,apps_shifted_test_test_0008,True,passed,,968,885,0,apps_protocol_20260716_021947_s712_shifted_test_reuse_routing,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_routing\summary.json
shifted_test,free,712,apps_shifted_test_test_0009,False,empty_or_missing_patch,Case 1 produced different output.,0,779,22,apps_protocol_20260716_021947_s712_shifted_test_free,trajectories\apps_protocol_20260716_021947_s712_shifted_test_free\summary.json
shifted_test,manual,712,apps_shifted_test_test_0009,False,empty_or_missing_patch,Case 1 produced different output.,0,890,21,apps_protocol_20260716_021947_s712_shifted_test_manual,trajectories\apps_protocol_20260716_021947_s712_shifted_test_manual\summary.json
shifted_test,random,712,apps_shifted_test_test_0009,False,empty_or_missing_patch,Case 1 produced different output.,0,421,25,apps_protocol_20260716_021947_s712_shifted_test_random,trajectories\apps_protocol_20260716_021947_s712_shifted_test_random\summary.json
shifted_test,reuse_full,712,apps_shifted_test_test_0009,True,passed,,1804,1072,0,apps_protocol_20260716_021947_s712_shifted_test_reuse_full,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_full\summary.json
shifted_test,reuse_prompt,712,apps_shifted_test_test_0009,False,syntax_error,"File ""<string>"", line 54
    top = bisect.bisect_left(min_y
                            ^
SyntaxError: '(' was never closed",1540,1673,71,apps_protocol_20260716_021947_s712_shifted_test_reuse_prompt,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_prompt\summary.json
shifted_test,reuse_routing,712,apps_shifted_test_test_0009,True,passed,,1902,790,0,apps_protocol_20260716_021947_s712_shifted_test_reuse_routing,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_routing\summary.json
shifted_test,free,712,apps_shifted_test_test_0010,True,passed,,99,369,4,apps_protocol_20260716_021947_s712_shifted_test_free,trajectories\apps_protocol_20260716_021947_s712_shifted_test_free\summary.json
shifted_test,manual,712,apps_shifted_test_test_0010,True,passed,,85,360,4,apps_protocol_20260716_021947_s712_shifted_test_manual,trajectories\apps_protocol_20260716_021947_s712_shifted_test_manual\summary.json
shifted_test,random,712,apps_shifted_test_test_0010,True,passed,,121,518,4,apps_protocol_20260716_021947_s712_shifted_test_random,trajectories\apps_protocol_20260716_021947_s712_shifted_test_random\summary.json
shifted_test,reuse_full,712,apps_shifted_test_test_0010,True,passed,,85,366,4,apps_protocol_20260716_021947_s712_shifted_test_reuse_full,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_full\summary.json
shifted_test,reuse_prompt,712,apps_shifted_test_test_0010,True,passed,,85,426,4,apps_protocol_20260716_021947_s712_shifted_test_reuse_prompt,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_prompt\summary.json
shifted_test,reuse_routing,712,apps_shifted_test_test_0010,True,passed,,121,478,4,apps_protocol_20260716_021947_s712_shifted_test_reuse_routing,trajectories\apps_protocol_20260716_021947_s712_shifted_test_reuse_routing\summary.json
shifted_test,free,712,apps_shifted_test_test_0011,True,passed,,198,466,4,apps_protocol_20260716_021947_s712_shifted_test_free,trajectories\apps_protocol_20260716_021947_s712_shifted_test_free\summary.json
shifted_test,manual,712,apps_shifted_test_test_0011,True,passed,,199,537,4,apps_protocol_20260716_021947_s712_shifted_test_manual,trajectories\apps_protocol_20260716_021947_s712_shifted_test_manual\summary.json
