split,seed,task_id,setting,delta_vs_free,free_failure_type,reuse_failure_type,free_error,reuse_error
shifted_test,712,apps_shifted_test_test_0000,reuse_prompt,rescued_by_reuse,empty_or_missing_patch,passed,Case 1 produced different output.,
shifted_test,712,apps_shifted_test_test_0000,reuse_routing,rescued_by_reuse,empty_or_missing_patch,passed,Case 1 produced different output.,
shifted_test,712,apps_shifted_test_test_0000,reuse_full,rescued_by_reuse,empty_or_missing_patch,passed,Case 1 produced different output.,
shifted_test,712,apps_shifted_test_test_0001,reuse_prompt,hurt_by_reuse,passed,wrong_output,,Case 54 produced different output.
shifted_test,712,apps_shifted_test_test_0001,reuse_routing,both_passed,passed,passed,,
shifted_test,712,apps_shifted_test_test_0001,reuse_full,both_passed,passed,passed,,
shifted_test,712,apps_shifted_test_test_0002,reuse_prompt,both_passed,passed,passed,,
shifted_test,712,apps_shifted_test_test_0002,reuse_routing,both_passed,passed,passed,,
shifted_test,712,apps_shifted_test_test_0002,reuse_full,both_passed,passed,passed,,
shifted_test,712,apps_shifted_test_test_0003,reuse_prompt,rescued_by_reuse,empty_or_missing_patch,passed,Case 1 produced different output.,
shifted_test,712,apps_shifted_test_test_0003,reuse_routing,rescued_by_reuse,empty_or_missing_patch,passed,Case 1 produced different output.,
shifted_test,712,apps_shifted_test_test_0003,reuse_full,both_failed,empty_or_missing_patch,empty_or_missing_patch,Case 1 produced different output.,Case 1 produced different output.
shifted_test,712,apps_shifted_test_test_0004,reuse_prompt,both_passed,passed,passed,,
shifted_test,712,apps_shifted_test_test_0004,reuse_routing,both_passed,passed,passed,,
shifted_test,712,apps_shifted_test_test_0004,reuse_full,both_passed,passed,passed,,
shifted_test,712,apps_shifted_test_test_0005,reuse_prompt,both_passed,passed,passed,,
shifted_test,712,apps_shifted_test_test_0005,reuse_routing,both_passed,passed,passed,,
shifted_test,712,apps_shifted_test_test_0005,reuse_full,both_passed,passed,passed,,
shifted_test,712,apps_shifted_test_test_0006,reuse_prompt,both_passed,passed,passed,,
shifted_test,712,apps_shifted_test_test_0006,reuse_routing,both_passed,passed,passed,,
shifted_test,712,apps_shifted_test_test_0006,reuse_full,both_passed,passed,passed,,
shifted_test,712,apps_shifted_test_test_0007,reuse_prompt,rescued_by_reuse,empty_or_missing_patch,passed,Case 1 produced different output.,
shifted_test,712,apps_shifted_test_test_0007,reuse_routing,both_failed,empty_or_missing_patch,empty_or_missing_patch,Case 1 produced different output.,Case 1 produced different output.
shifted_test,712,apps_shifted_test_test_0007,reuse_full,both_failed,empty_or_missing_patch,empty_or_missing_patch,Case 1 produced different output.,Case 1 produced different output.
shifted_test,712,apps_shifted_test_test_0008,reuse_prompt,rescued_by_reuse,empty_or_missing_patch,passed,Case 1 produced different output.,
shifted_test,712,apps_shifted_test_test_0008,reuse_routing,rescued_by_reuse,empty_or_missing_patch,passed,Case 1 produced different output.,
shifted_test,712,apps_shifted_test_test_0008,reuse_full,rescued_by_reuse,empty_or_missing_patch,passed,Case 1 produced different output.,
shifted_test,712,apps_shifted_test_test_0009,reuse_prompt,both_failed,empty_or_missing_patch,syntax_error,Case 1 produced different output.,"File ""<string>"", line 54
    top = bisect.bisect_left(min_y
                            ^
SyntaxError: '(' was never closed"
shifted_test,712,apps_shifted_test_test_0009,reuse_routing,rescued_by_reuse,empty_or_missing_patch,passed,Case 1 produced different output.,
shifted_test,712,apps_shifted_test_test_0009,reuse_full,rescued_by_reuse,empty_or_missing_patch,passed,Case 1 produced different output.,
shifted_test,712,apps_shifted_test_test_0010,reuse_prompt,both_passed,passed,passed,,
shifted_test,712,apps_shifted_test_test_0010,reuse_routing,both_passed,passed,passed,,
shifted_test,712,apps_shifted_test_test_0010,reuse_full,both_passed,passed,passed,,
shifted_test,712,apps_shifted_test_test_0011,reuse_prompt,both_passed,passed,passed,,
shifted_test,712,apps_shifted_test_test_0011,reuse_routing,both_passed,passed,passed,,
shifted_test,712,apps_shifted_test_test_0011,reuse_full,both_passed,passed,passed,,
shifted_test,712,apps_shifted_test_test_0012,reuse_prompt,both_passed,passed,passed,,
