split,task_id,free_successes,free_attempts,manual_successes,manual_attempts,random_successes,random_attempts,reuse_prompt_successes,reuse_prompt_attempts,reuse_routing_successes,reuse_routing_attempts,reuse_full_successes,reuse_full_attempts,reuse_prompt_minus_free,reuse_routing_minus_free,reuse_full_minus_free
shifted_test,apps_shifted_test_test_0000,0,3,1,3,2,3,2,3,3,3,1,3,2,3,1
shifted_test,apps_shifted_test_test_0001,2,3,3,3,3,3,2,3,2,3,1,3,0,0,-1
shifted_test,apps_shifted_test_test_0002,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
shifted_test,apps_shifted_test_test_0003,0,3,0,3,1,3,2,3,2,3,2,3,2,2,2
shifted_test,apps_shifted_test_test_0004,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
shifted_test,apps_shifted_test_test_0005,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
shifted_test,apps_shifted_test_test_0006,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
shifted_test,apps_shifted_test_test_0007,2,3,1,3,2,3,2,3,2,3,1,3,0,0,-1
shifted_test,apps_shifted_test_test_0008,2,3,0,3,3,3,3,3,2,3,2,3,1,0,0
shifted_test,apps_shifted_test_test_0009,1,3,1,3,0,3,2,3,2,3,1,3,1,1,0
shifted_test,apps_shifted_test_test_0010,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
shifted_test,apps_shifted_test_test_0011,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
shifted_test,apps_shifted_test_test_0012,3,3,1,3,2,3,3,3,1,3,0,3,0,-2,-3
shifted_test,apps_shifted_test_test_0015,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
test,apps_test_test_4001,1,3,3,3,3,3,3,3,3,3,3,3,2,2,2
test,apps_test_test_4002,3,3,3,3,3,3,3,3,2,3,3,3,0,-1,0
test,apps_test_test_4003,2,3,2,3,0,3,1,3,0,3,0,3,-1,-2,-2
test,apps_test_test_4004,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
test,apps_test_test_4005,2,3,3,3,1,3,2,3,0,3,1,3,0,-2,-1
test,apps_test_test_4006,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
test,apps_test_test_4008,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
test,apps_test_test_4009,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
test,apps_test_test_4010,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
test,apps_test_test_4011,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
test,apps_test_test_4012,2,3,2,3,2,3,3,3,1,3,2,3,1,-1,0
test,apps_test_test_4013,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
test,apps_test_test_4014,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
test,apps_test_test_4015,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
test,apps_test_test_4016,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
test,apps_test_test_4017,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
test,apps_test_test_4018,2,3,1,3,0,3,1,3,2,3,0,3,-1,0,-2
test,apps_test_test_4020,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
test,apps_test_test_4021,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
test,apps_test_test_4022,3,3,3,3,3,3,3,3,3,3,3,3,0,0,0
