split,game_type,setting,tasks,cooperation_rate,nash_deviation_rate,invalid_action_rate,average_payoff,social_welfare
shifted_test,iterated_prisoners_dilemma,no_persona,1,1.0,1.0,0.0,3.0,60.0
shifted_test,iterated_prisoners_dilemma,persona,1,1.0,1.0,0.0,3.0,60.0
shifted_test,iterated_prisoners_dilemma,reuse_assets,1,1.0,1.0,0.0,3.0,60.0
shifted_test,public_goods,no_persona,1,0.0,0.0,0.0,10.0,300.0
shifted_test,public_goods,persona,1,0.8,0.8,0.0,13.199999999999992,396.0
shifted_test,public_goods,reuse_assets,1,0.8,0.8,0.0,13.199999999999992,396.0
test,iterated_prisoners_dilemma,no_persona,1,1.0,1.0,0.0,3.0,48.0
test,iterated_prisoners_dilemma,persona,1,1.0,1.0,0.0,3.0,48.0
test,iterated_prisoners_dilemma,reuse_assets,1,1.0,1.0,0.0,3.0,48.0
test,public_goods,no_persona,1,1.0,1.0,0.0,16.0,384.0
test,public_goods,persona,1,0.75,0.75,0.0,14.5,348.0
test,public_goods,reuse_assets,1,0.75,0.75,0.0,14.5,348.0
